tair,rh,D_air,rad,apar,LAI,Ac,Reco,NEE
-0.9766,0.0,0.0,0.0,0.0,0.0,0.0,2.9257486563165295e8,2.9257486563165295e8
-3.6439,0.0,0.0,0.0,0.0,0.0,0.0,2.4318863972131622e8,2.4318863972131622e8
-5.8389,0.0,0.0,0.0,0.0,0.0,0.0,2.0886573540451756e8,2.0886573540451756e8
-6.7186,0.0,0.0,0.0,0.0,0.0,0.0,1.9651042311052352e8,1.9651042311052352e8
-6.7186,0.0,0.0,0.0,0.0,0.0,0.0,1.9651042311052352e8,1.9651042311052352e8
-5.8389,0.0,0.0,0.0,0.0,0.0,0.0,2.0886573540451756e8,2.0886573540451756e8
-4.1395,0.0,0.0,0.0,0.0,0.0,0.0,2.3497639518085793e8,2.3497639518085793e8
-1.7361,0.0,0.0,0.0,0.0,0.0,0.0,2.775708057334468e8,2.775708057334468e8
1.2075,0.0,0.0,0.0,0.0,0.0,0.0,3.403964134985916e8,3.403964134985916e8
4.4906,0.0,0.0,0.0,0.0,0.0,0.0,4.27381907887101e8,4.27381907887101e8
7.8895,0.0,0.0,0.0,0.0,0.0,0.0,5.409202233732922e8,5.409202233732922e8
11.1725,0.0,0.0,0.0,0.0,0.0,0.0,6.791432150979478e8,6.791432150979478e8
14.1161,0.0,0.0,0.0,0.0,0.0,0.0,8.328610570567201e8,8.328610570567201e8
16.5195,0.0,0.0,0.0,0.0,0.0,0.0,9.838346294031353e8,9.838346294031353e8
18.2189,0.0,0.0,0.0,0.0,0.0,0.0,1.1068254648064396e9,1.1068254648064396e9
19.0986,0.0,0.0,0.0,0.0,0.0,0.0,1.1764155356849566e9,1.1764155356849566e9
19.0986,0.0,0.0,0.0,0.0,0.0,0.0,1.1764155356849566e9,1.1764155356849566e9
18.2189,0.0,0.0,0.0,0.0,0.0,0.0,1.1068254648064396e9,1.1068254648064396e9
16.5195,0.0,0.0,0.0,0.0,0.0,0.0,9.838346294031353e8,9.838346294031353e8
14.1161,0.0,0.0,0.0,0.0,0.0,0.0,8.328610570567201e8,8.328610570567201e8
11.1726,0.0,0.0,0.0,0.0,0.0,0.0,6.791479225763083e8,6.791479225763083e8
7.8895,0.0,0.0,0.0,0.0,0.0,0.0,5.409202233732922e8,5.409202233732922e8
4.4906,0.0,0.0,0.0,0.0,0.0,0.0,4.27381907887101e8,4.27381907887101e8
1.2075,0.0,0.0,0.0,0.0,0.0,0.0,3.403964134985916e8,3.403964134985916e8
-1.736,0.0,0.0,0.0,0.0,0.0,0.0,2.775727297143294e8,2.775727297143294e8
-4.1394,0.0,0.0,0.0,0.0,0.0,0.0,2.3497802391876018e8,2.3497802391876018e8
-7.6827,0.0,0.0,0.0,0.0,0.0,0.0,1.838075256838042e8,1.838075256838042e8
-8.6212,0.0,0.0,0.0,0.0,0.0,0.0,1.722311192060196e8,1.722311192060196e8
-8.6212,0.0,0.0,0.0,0.0,0.0,0.0,1.722311192060196e8,1.722311192060196e8
-7.6827,0.0,0.0,0.0,0.0,0.0,0.0,1.838075256838042e8,1.838075256838042e8
-5.8697,0.0,0.0,0.0,0.0,0.0,0.0,2.0842030498442948e8,2.0842030498442948e8
-3.3057,0.0,0.0,0.0,0.0,0.0,0.0,2.4895687158463007e8,2.4895687158463007e8
-0.1655,0.0,0.0,0.0,0.0,0.0,0.0,3.094949429629962e8,3.094949429629962e8
3.337,0.0,0.0,0.0,0.0,0.0,0.0,3.945384310320098e8,3.945384310320098e8
6.963,0.0,0.0,0.0,0.0,0.0,0.0,5.072742174899608e8,5.072742174899608e8
10.4655,0.0,0.0,0.0,0.0,0.0,0.0,6.466637934546436e8,6.466637934546436e8
13.6057,0.0,0.0,0.0,0.0,0.0,0.0,8.039110252212685e8,8.039110252212685e8
16.1697,0.0,0.0,0.0,0.0,0.0,0.0,9.602671576861525e8,9.602671576861525e8
17.9827,0.0,0.0,0.0,0.0,0.0,0.0,1.0888519016123967e9,1.0888519016123967e9
18.9212,0.0,0.0,0.0,0.0,0.0,0.0,1.1620383981368484e9,1.1620383981368484e9
18.9212,0.0,0.0,0.0,0.0,0.0,0.0,1.1620383981368484e9,1.1620383981368484e9
17.9827,0.0,0.0,0.0,0.0,0.0,0.0,1.0888519016123967e9,1.0888519016123967e9
16.1697,0.0,0.0,0.0,0.0,0.0,0.0,9.602671576861525e8,9.602671576861525e8
13.6057,0.0,0.0,0.0,0.0,0.0,0.0,8.039110252212685e8,8.039110252212685e8
10.4655,0.0,0.0,0.0,0.0,0.0,0.0,6.466637934546436e8,6.466637934546436e8
6.963,0.0,0.0,0.0,0.0,0.0,0.0,5.072742174899608e8,5.072742174899608e8
3.337,0.0,0.0,0.0,0.0,0.0,0.0,3.945384310320098e8,3.945384310320098e8
-0.1654,0.0,0.0,0.0,0.0,0.0,0.0,3.0949708822590286e8,3.0949708822590286e8
-3.3057,0.0,0.0,0.0,0.0,0.0,0.0,2.4895687158463007e8,2.4895687158463007e8
-5.8697,0.0,0.0,0.0,0.0,0.0,0.0,2.0842030498442948e8,2.0842030498442948e8
-3.6173,0.0,0.0,0.0,0.0,0.0,0.0,2.436374376176726e8,2.436374376176726e8
-4.4274,0.0,0.0,0.0,0.0,0.0,0.0,2.3033375268602985e8,2.3033375268602985e8
-4.4274,0.0,0.0,0.0,0.0,0.0,0.0,2.3033375268602985e8,2.3033375268602985e8
-3.6173,0.0,0.0,0.0,0.0,0.0,0.0,2.436374376176726e8,2.436374376176726e8
-2.0523,0.0,0.0,0.0,0.0,0.0,0.0,2.7155338301971173e8,2.7155338301971173e8
0.161,0.0,0.0,0.0,0.0,0.0,0.0,3.165790609625654e8,3.165790609625654e8
2.8716,0.0,0.0,0.0,0.0,0.0,0.0,3.8201408621022826e8,3.8201408621022826e8
5.895,0.0,0.0,0.0,0.0,0.0,0.0,4.7107796042574763e8,4.7107796042574763e8
9.025,0.0,0.0,0.0,0.0,0.0,0.0,5.852146300438197e8,5.852146300438197e8
12.0484,0.0,0.0,0.0,0.0,0.0,0.0,7.21653269562004e8,7.21653269562004e8
14.759,0.0,0.0,0.0,0.0,0.0,0.0,8.70814745277647e8,8.70814745277647e8
